credit_history,savings_balance,employment_duration,age,other_credit,housing,existing_loans_count,job,default
Critical,Unknown,< 1 year,67,none,own,Two,skilled,No default
Good,< 100 DM,1 - 4 years,22,none,own,One,skilled,Default
Critical,< 100 DM,4 - 7 years,49,none,own,One,unskilled,No default
Good,< 100 DM,4 - 7 years,45,none,other,One,skilled,No default
Poor,< 100 DM,1 - 4 years,53,none,other,Two,skilled,Default
Good,Unknown,1 - 4 years,35,none,other,One,unskilled,No default
Good,500 - 1000 DM,< 1 year,53,none,own,One,skilled,No default
Good,< 100 DM,1 - 4 years,35,none,rent,One,management,No default
Good,> 1000 DM,4 - 7 years,61,none,own,One,unskilled,No default
Critical,< 100 DM,unknown,28,none,own,Two,management,Default
Good,< 100 DM,< 1 year,25,none,rent,One,skilled,Default
Good,< 100 DM,< 1 year,24,none,rent,One,skilled,Default
Good,< 100 DM,1 - 4 years,22,none,own,One,skilled,No default
Critical,< 100 DM,< 1 year,60,none,own,Two,unskilled,Default
Good,< 100 DM,1 - 4 years,28,none,rent,One,skilled,No default
Good,100 - 500 DM,1 - 4 years,32,none,own,One,unskilled,Default
Critical,Unknown,< 1 year,53,none,own,Two,skilled,No default
Perfect,Unknown,< 1 year,25,bank,own,Three,skilled,No default
Good,< 100 DM,< 1 year,44,none,other,One,management,Default
Good,500 - 1000 DM,< 1 year,31,none,own,One,skilled,No default
Critical,< 100 DM,1 - 4 years,48,none,own,Three,skilled,No default
Good,500 - 1000 DM,1 - 4 years,44,none,rent,One,skilled,No default
Critical,< 100 DM,< 1 year,48,none,rent,Two,unskilled,No default
Critical,100 - 500 DM,< 1 year,44,none,own,One,skilled,No default
Critical,Unknown,1 - 4 years,26,none,own,Two,skilled,No default
Good,< 100 DM,1 - 4 years,36,bank,own,One,unskilled,No default
Perfect,< 100 DM,< 1 year,39,none,own,One,unskilled,No default
Very good,> 1000 DM,1 - 4 years,42,none,rent,Two,skilled,No default
Good,< 100 DM,1 - 4 years,34,none,own,One,skilled,No default
Poor,< 100 DM,< 1 year,63,none,own,Two,skilled,Default
Good,> 1000 DM,< 1 year,36,bank,own,One,skilled,No default
Good,< 100 DM,1 - 4 years,27,store,own,One,skilled,No default
Good,100 - 500 DM,1 - 4 years,30,none,own,Two,skilled,No default
Critical,Unknown,< 1 year,57,none,rent,One,unskilled,No default
Good,< 100 DM,< 1 year,33,bank,own,One,management,No default
Critical,< 100 DM,< 1 year,25,none,own,Two,unskilled,Default
Critical,< 100 DM,1 - 4 years,31,bank,other,One,skilled,No default
Good,< 100 DM,1 - 4 years,37,store,own,One,skilled,Default
Good,< 100 DM,1 - 4 years,37,none,own,One,skilled,No default
Good,< 100 DM,1 - 4 years,24,none,own,One,skilled,No default
Good,500 - 1000 DM,< 1 year,30,bank,own,One,management,No default
Good,500 - 1000 DM,1 - 4 years,26,none,own,One,skilled,No default
Poor,< 100 DM,1 - 4 years,44,none,own,One,unskilled,No default
Critical,100 - 500 DM,4 - 7 years,24,none,rent,Two,skilled,No default
Critical,< 100 DM,< 1 year,58,store,other,Two,unskilled,Default
Critical,< 100 DM,< 1 year,35,none,own,Two,management,No default
Good,500 - 1000 DM,< 1 year,39,none,own,One,skilled,No default
Good,500 - 1000 DM,unknown,23,none,rent,One,99,No default
Critical,< 100 DM,1 - 4 years,39,none,own,Two,unskilled,No default
Good,100 - 500 DM,1 - 4 years,28,none,own,One,skilled,No default
Poor,Unknown,< 1 year,29,bank,own,One,unskilled,No default
Poor,< 100 DM,< 1 year,30,none,own,Two,management,No default
Good,< 100 DM,1 - 4 years,25,none,own,One,skilled,No default
Good,Unknown,1 - 4 years,31,none,own,One,skilled,No default
Poor,< 100 DM,< 1 year,57,bank,other,Two,skilled,Default
Very good,Unknown,1 - 4 years,26,store,own,One,unskilled,No default
Good,Unknown,unknown,52,none,own,One,management,Default
Critical,< 100 DM,1 - 4 years,31,store,own,Two,skilled,No default
Good,< 100 DM,< 1 year,23,none,own,One,management,No default
Critical,< 100 DM,< 1 year,23,none,rent,Two,unskilled,Default
Good,< 100 DM,1 - 4 years,27,bank,own,One,skilled,No default
Critical,Unknown,< 1 year,50,none,own,Two,skilled,No default
Perfect,< 100 DM,< 1 year,61,none,other,One,management,Default
Perfect,< 100 DM,1 - 4 years,25,none,own,One,skilled,Default
Good,< 100 DM,< 1 year,26,none,own,One,skilled,No default
Good,Unknown,< 1 year,48,none,own,Four,skilled,No default
Good,< 100 DM,< 1 year,29,bank,own,One,skilled,No default
Good,> 1000 DM,1 - 4 years,22,none,own,One,skilled,No default
Good,< 100 DM,1 - 4 years,37,store,other,One,skilled,Default
Good,Unknown,1 - 4 years,25,none,own,One,skilled,No default
Good,< 100 DM,1 - 4 years,30,bank,own,One,skilled,No default
Critical,Unknown,< 1 year,46,none,rent,Two,unskilled,No default
Critical,< 100 DM,< 1 year,51,bank,other,Two,management,No default
Critical,< 100 DM,4 - 7 years,41,bank,own,Two,unskilled,No default
Good,Unknown,< 1 year,40,none,own,One,management,Default
Critical,< 100 DM,< 1 year,66,none,other,Two,management,No default
Good,< 100 DM,< 1 year,34,none,own,One,skilled,Default
Poor,< 100 DM,4 - 7 years,51,none,own,One,skilled,No default
Perfect,Unknown,1 - 4 years,39,none,own,One,unskilled,No default
Good,< 100 DM,< 1 year,22,none,own,One,skilled,No default
Good,Unknown,< 1 year,44,none,own,Two,skilled,Default
Good,500 - 1000 DM,< 1 year,47,store,own,One,skilled,No default
Good,100 - 500 DM,1 - 4 years,24,none,rent,One,unskilled,No default
Good,< 100 DM,< 1 year,58,none,own,One,unskilled,No default
Good,< 100 DM,< 1 year,52,none,own,One,unskilled,No default
Critical,< 100 DM,1 - 4 years,29,none,own,Two,management,No default
Critical,< 100 DM,< 1 year,27,none,own,Two,skilled,No default
Good,100 - 500 DM,1 - 4 years,47,none,other,One,skilled,Default
Good,100 - 500 DM,4 - 7 years,30,none,own,One,management,No default
Perfect,< 100 DM,4 - 7 years,28,none,own,Two,skilled,Default
Critical,< 100 DM,< 1 year,56,none,own,One,skilled,No default
Critical,< 100 DM,< 1 year,54,none,own,One,skilled,No default
Critical,Unknown,< 1 year,33,bank,own,One,unskilled,Default
Critical,Unknown,< 1 year,20,none,rent,Two,skilled,No default
Good,> 1000 DM,< 1 year,54,none,own,One,skilled,No default
Perfect,< 100 DM,< 1 year,58,none,rent,One,skilled,Default
Critical,Unknown,4 - 7 years,61,none,own,One,skilled,No default
Good,100 - 500 DM,1 - 4 years,34,none,own,One,skilled,No default
Critical,< 100 DM,< 1 year,36,none,own,One,skilled,No default
Poor,Unknown,4 - 7 years,36,bank,rent,Two,management,No default
Good,100 - 500 DM,< 1 year,41,none,rent,One,unskilled,No default
Good,< 100 DM,4 - 7 years,24,none,rent,One,skilled,No default
Poor,< 100 DM,1 - 4 years,24,none,own,One,skilled,No default
Critical,< 100 DM,4 - 7 years,35,none,rent,One,skilled,No default
Good,Unknown,< 1 year,26,none,rent,One,skilled,No default
Critical,< 100 DM,1 - 4 years,39,none,own,Two,management,Default
Very good,< 100 DM,< 1 year,39,bank,own,Two,management,Default
Good,< 100 DM,4 - 7 years,32,none,own,One,skilled,No default
Good,Unknown,< 1 year,30,none,own,One,skilled,No default
Good,500 - 1000 DM,< 1 year,35,none,own,One,skilled,No default
Poor,100 - 500 DM,< 1 year,31,bank,own,Two,skilled,No default
Good,< 100 DM,< 1 year,23,none,rent,One,skilled,No default
Good,< 100 DM,4 - 7 years,28,none,rent,One,unskilled,No default
Critical,< 100 DM,1 - 4 years,25,store,own,Two,skilled,Default
Good,500 - 1000 DM,< 1 year,35,none,own,One,skilled,No default
Critical,Unknown,< 1 year,47,none,own,One,skilled,No default
Good,Unknown,4 - 7 years,30,none,own,One,management,Default
Critical,Unknown,< 1 year,27,none,rent,Two,skilled,No default
Critical,500 - 1000 DM,1 - 4 years,23,none,own,Two,skilled,Default
Critical,500 - 1000 DM,4 - 7 years,36,none,own,One,management,No default
Good,< 100 DM,1 - 4 years,25,none,own,Two,skilled,Default
Critical,< 100 DM,< 1 year,41,none,rent,Two,management,No default
Good,< 100 DM,1 - 4 years,24,none,rent,One,unskilled,No default
Critical,< 100 DM,< 1 year,63,none,other,Two,skilled,No default
Good,Unknown,< 1 year,27,none,rent,One,skilled,Default
Critical,< 100 DM,1 - 4 years,30,none,own,Two,skilled,No default
Good,< 100 DM,1 - 4 years,40,none,own,One,unskilled,No default
Good,< 100 DM,1 - 4 years,30,none,own,One,skilled,Default
Critical,< 100 DM,unknown,34,none,own,Two,management,No default
Critical,< 100 DM,1 - 4 years,29,none,own,Two,skilled,Default
Good,Unknown,4 - 7 years,24,none,own,One,skilled,No default
Poor,< 100 DM,1 - 4 years,29,store,own,One,skilled,Default
Good,< 100 DM,< 1 year,27,bank,own,Two,unskilled,No default
Good,< 100 DM,1 - 4 years,47,bank,other,Two,skilled,No default
Good,100 - 500 DM,4 - 7 years,21,none,own,One,skilled,No default
Critical,Unknown,< 1 year,38,none,own,Two,skilled,No default
Poor,> 1000 DM,1 - 4 years,27,none,own,Two,skilled,No default
Good,500 - 1000 DM,1 - 4 years,66,none,own,One,unskilled,Default
Critical,Unknown,4 - 7 years,35,bank,own,Three,skilled,No default
Good,< 100 DM,1 - 4 years,44,none,rent,One,unskilled,No default
Good,> 1000 DM,< 1 year,27,none,own,One,99,No default
Good,< 100 DM,< 1 year,30,none,own,One,management,No default
Good,< 100 DM,1 - 4 years,27,none,own,One,management,No default
Good,< 100 DM,1 - 4 years,22,none,own,One,skilled,Default
Critical,< 100 DM,< 1 year,23,none,own,One,skilled,No default
Very good,100 - 500 DM,4 - 7 years,30,none,own,One,skilled,No default
Critical,< 100 DM,< 1 year,39,none,own,Two,skilled,No default
Critical,100 - 500 DM,4 - 7 years,51,none,own,Two,skilled,No default
Critical,< 100 DM,1 - 4 years,28,none,own,Two,skilled,No default
Critical,> 1000 DM,< 1 year,46,none,own,Two,skilled,No default
Good,100 - 500 DM,< 1 year,42,bank,other,One,skilled,No default
Good,< 100 DM,1 - 4 years,38,none,own,One,skilled,No default
Good,< 100 DM,1 - 4 years,24,none,own,One,skilled,No default
Critical,> 1000 DM,< 1 year,29,none,rent,One,skilled,No default
Poor,100 - 500 DM,4 - 7 years,36,none,rent,One,management,No default
Good,< 100 DM,1 - 4 years,20,none,rent,One,skilled,Default
Critical,100 - 500 DM,< 1 year,48,none,own,Two,skilled,No default
Very good,< 100 DM,< 1 year,45,bank,own,One,unskilled,No default
Good,100 - 500 DM,4 - 7 years,38,bank,own,Two,skilled,No default
Critical,Unknown,1 - 4 years,34,none,own,Two,unskilled,No default
Critical,100 - 500 DM,< 1 year,36,none,own,One,skilled,No default
Critical,< 100 DM,< 1 year,30,none,own,Two,skilled,No default
Good,500 - 1000 DM,4 - 7 years,36,none,own,Two,skilled,No default
Good,< 100 DM,unknown,70,bank,other,One,management,No default
Good,500 - 1000 DM,< 1 year,36,none,own,One,skilled,No default
Good,500 - 1000 DM,1 - 4 years,32,none,own,One,skilled,No default
Good,< 100 DM,unknown,33,none,own,One,skilled,Default
Good,> 1000 DM,< 1 year,20,none,own,One,skilled,No default
Good,< 100 DM,4 - 7 years,25,none,rent,One,skilled,No default
Critical,< 100 DM,< 1 year,31,none,own,Two,skilled,Default
Perfect,< 100 DM,< 1 year,33,none,rent,Two,skilled,Default
Good,< 100 DM,1 - 4 years,26,none,own,One,skilled,No default
Poor,< 100 DM,unknown,34,none,own,One,management,Default
Good,< 100 DM,1 - 4 years,33,none,own,One,skilled,No default
Poor,< 100 DM,< 1 year,26,none,own,Two,skilled,Default
Very good,Unknown,unknown,53,bank,own,One,management,Default
Good,< 100 DM,1 - 4 years,42,none,own,One,skilled,No default
Critical,500 - 1000 DM,< 1 year,52,none,own,Two,skilled,No default
Good,< 100 DM,4 - 7 years,31,none,rent,Two,management,No default
Critical,< 100 DM,< 1 year,65,none,own,Two,skilled,No default
Poor,< 100 DM,< 1 year,28,none,own,Two,skilled,Default
Poor,< 100 DM,1 - 4 years,30,store,own,Two,management,Default
Very good,Unknown,1 - 4 years,40,none,own,Two,unskilled,Default
Critical,> 1000 DM,1 - 4 years,50,none,own,One,skilled,No default
Critical,< 100 DM,< 1 year,36,bank,own,One,skilled,Default
Critical,< 100 DM,1 - 4 years,31,none,own,Two,skilled,No default
Very good,< 100 DM,< 1 year,74,bank,other,One,management,Default
Critical,< 100 DM,unknown,68,none,other,Three,99,No default
Good,100 - 500 DM,4 - 7 years,20,none,own,One,skilled,Default
Perfect,< 100 DM,1 - 4 years,33,bank,own,Two,skilled,No default
Good,> 1000 DM,1 - 4 years,54,none,own,Three,management,Default
Perfect,100 - 500 DM,4 - 7 years,34,none,other,One,unskilled,Default
Good,< 100 DM,1 - 4 years,36,none,own,One,skilled,Default
Good,< 100 DM,4 - 7 years,29,none,rent,One,skilled,No default
Good,100 - 500 DM,1 - 4 years,21,none,rent,One,skilled,Default
Critical,< 100 DM,< 1 year,34,none,own,Two,management,Default
Critical,< 100 DM,1 - 4 years,28,none,own,Two,skilled,No default
Good,100 - 500 DM,< 1 year,27,bank,rent,Four,skilled,Default
Good,Unknown,< 1 year,36,bank,other,One,skilled,No default
Poor,< 100 DM,< 1 year,40,none,own,One,management,Default
Critical,500 - 1000 DM,< 1 year,52,none,own,Two,skilled,No default
Good,< 100 DM,1 - 4 years,27,none,own,One,unskilled,No default
Poor,< 100 DM,4 - 7 years,26,none,own,Two,skilled,No default
Good,< 100 DM,4 - 7 years,21,none,rent,One,skilled,Default
Critical,< 100 DM,< 1 year,38,none,own,Two,unskilled,No default
Critical,< 100 DM,< 1 year,38,none,other,Three,management,No default
Critical,< 100 DM,< 1 year,43,none,own,Three,skilled,No default
Critical,< 100 DM,4 - 7 years,26,none,own,One,skilled,No default
Good,< 100 DM,1 - 4 years,21,store,own,One,unskilled,No default
Good,> 1000 DM,4 - 7 years,55,none,own,One,skilled,No default
Critical,Unknown,1 - 4 years,33,none,own,Two,skilled,No default
Good,Unknown,< 1 year,45,none,own,One,unskilled,No default
Perfect,< 100 DM,unknown,50,store,own,Two,skilled,Default
Poor,< 100 DM,< 1 year,66,none,own,One,management,Default
Critical,Unknown,< 1 year,51,none,own,One,skilled,No default
Critical,Unknown,4 - 7 years,39,none,own,Two,unskilled,No default
Perfect,< 100 DM,4 - 7 years,31,bank,own,One,skilled,No default
Good,< 100 DM,1 - 4 years,23,none,own,One,skilled,No default
Good,< 100 DM,1 - 4 years,24,none,rent,One,unskilled,No default
Good,< 100 DM,1 - 4 years,64,none,own,One,skilled,No default
Good,< 100 DM,< 1 year,26,bank,own,One,unskilled,No default
Good,Unknown,1 - 4 years,23,bank,rent,One,skilled,No default
Good,< 100 DM,1 - 4 years,30,bank,own,Two,skilled,No default
Poor,Unknown,1 - 4 years,32,none,own,Two,skilled,No default
Good,< 100 DM,1 - 4 years,30,none,own,One,skilled,No default
Perfect,< 100 DM,1 - 4 years,27,none,own,Two,skilled,No default
Good,> 1000 DM,4 - 7 years,27,bank,own,Two,skilled,Default
Good,< 100 DM,< 1 year,53,none,other,One,management,Default
Good,< 100 DM,4 - 7 years,22,none,own,One,skilled,Default
Good,< 100 DM,< 1 year,22,bank,other,One,skilled,No default
Good,< 100 DM,1 - 4 years,26,none,own,One,skilled,Default
Good,500 - 1000 DM,< 1 year,51,none,other,One,unskilled,No default
Good,100 - 500 DM,4 - 7 years,35,none,own,One,skilled,No default
Good,< 100 DM,1 - 4 years,25,none,own,One,unskilled,No default
Critical,< 100 DM,4 - 7 years,42,none,own,Three,unskilled,No default
Good,< 100 DM,unknown,30,store,own,One,management,Default
Good,Unknown,unknown,23,none,own,One,99,Default
Good,100 - 500 DM,< 1 year,61,bank,rent,Two,unskilled,Default
Critical,< 100 DM,1 - 4 years,35,none,own,Two,skilled,No default
Good,< 100 DM,< 1 year,39,none,own,One,skilled,No default
Good,Unknown,< 1 year,29,bank,own,One,skilled,Default
Good,< 100 DM,4 - 7 years,51,none,own,One,skilled,No default
Perfect,< 100 DM,< 1 year,24,none,other,Two,skilled,Default
Critical,< 100 DM,1 - 4 years,27,none,own,Two,skilled,No default
Very good,500 - 1000 DM,1 - 4 years,35,none,own,One,unskilled,No default
Good,< 100 DM,4 - 7 years,25,none,own,One,skilled,No default
Critical,< 100 DM,< 1 year,52,none,own,Three,skilled,No default
Perfect,100 - 500 DM,1 - 4 years,35,bank,rent,One,skilled,No default
Good,< 100 DM,1 - 4 years,26,none,own,One,skilled,No default
Good,< 100 DM,unknown,22,none,rent,One,skilled,Default
Critical,> 1000 DM,4 - 7 years,39,none,own,Two,unskilled,No default
Good,< 100 DM,1 - 4 years,46,none,own,One,unskilled,No default
Good,< 100 DM,1 - 4 years,24,bank,own,One,skilled,Default
Poor,100 - 500 DM,1 - 4 years,35,none,own,Two,skilled,No default
Good,Unknown,4 - 7 years,24,none,own,One,skilled,No default
Poor,Unknown,1 - 4 years,27,none,own,One,unskilled,No default
Critical,< 100 DM,1 - 4 years,35,none,own,Two,unskilled,No default
Very good,< 100 DM,1 - 4 years,29,none,other,One,skilled,Default
Good,100 - 500 DM,< 1 year,23,none,own,One,skilled,No default
Critical,100 - 500 DM,unknown,57,none,own,Three,unskilled,No default
Good,< 100 DM,1 - 4 years,27,none,own,One,skilled,No default
Good,< 100 DM,< 1 year,55,none,own,One,skilled,No default
Critical,< 100 DM,< 1 year,36,none,other,Three,management,No default
Critical,< 100 DM,< 1 year,57,bank,other,Three,unskilled,No default
Critical,< 100 DM,< 1 year,32,none,own,Two,unskilled,No default
Good,< 100 DM,< 1 year,37,none,own,One,skilled,Default
Critical,Unknown,< 1 year,36,none,own,Two,skilled,No default
Good,< 100 DM,< 1 year,38,store,own,One,skilled,No default
Good,< 100 DM,< 1 year,45,none,own,One,management,Default
Good,Unknown,< 1 year,25,none,own,Two,skilled,No default
Good,Unknown,4 - 7 years,32,none,own,One,skilled,No default
Critical,500 - 1000 DM,4 - 7 years,37,none,rent,One,skilled,No default
Very good,Unknown,unknown,36,none,other,One,management,No default
Good,< 100 DM,4 - 7 years,28,none,own,Two,skilled,Default
Good,< 100 DM,< 1 year,34,none,own,One,unskilled,Default
Good,< 100 DM,1 - 4 years,32,none,own,One,skilled,No default
Critical,< 100 DM,1 - 4 years,26,none,own,Two,skilled,No default
Good,Unknown,< 1 year,49,none,own,One,unskilled,No default
Good,< 100 DM,< 1 year,32,none,own,One,skilled,Default
Good,100 - 500 DM,1 - 4 years,29,none,rent,One,management,No default
Critical,> 1000 DM,< 1 year,23,none,rent,Two,skilled,No default
Good,< 100 DM,1 - 4 years,50,none,own,One,skilled,No default
Very good,Unknown,4 - 7 years,49,bank,own,One,unskilled,No default
Critical,Unknown,< 1 year,63,none,own,One,skilled,No default
Critical,100 - 500 DM,< 1 year,37,none,own,One,skilled,No default
Good,< 100 DM,< 1 year,35,none,own,One,unskilled,No default
Good,< 100 DM,4 - 7 years,26,none,own,One,skilled,No default
Poor,100 - 500 DM,unknown,31,none,other,One,management,No default
Good,< 100 DM,1 - 4 years,49,none,own,Two,skilled,No default
Poor,< 100 DM,< 1 year,48,store,own,One,skilled,Default
Good,< 100 DM,1 - 4 years,26,none,own,One,skilled,No default
Good,< 100 DM,< 1 year,28,none,rent,One,management,Default
Critical,< 100 DM,< 1 year,44,none,other,Two,management,No default
Critical,< 100 DM,< 1 year,56,none,other,One,skilled,No default
Critical,Unknown,< 1 year,46,bank,own,Two,management,No default
Good,< 100 DM,< 1 year,26,none,own,One,skilled,Default
Good,Unknown,< 1 year,20,none,rent,One,skilled,No default
Good,Unknown,< 1 year,45,none,own,One,unskilled,No default
Good,< 100 DM,1 - 4 years,43,none,own,One,skilled,No default
Critical,> 1000 DM,4 - 7 years,32,none,own,Two,skilled,No default
Good,< 100 DM,unknown,54,none,own,One,99,No default
Perfect,< 100 DM,1 - 4 years,42,none,own,One,skilled,Default
Critical,Unknown,4 - 7 years,37,bank,own,Two,unskilled,Default
Critical,< 100 DM,4 - 7 years,49,none,own,Two,skilled,No default
Critical,500 - 1000 DM,1 - 4 years,44,bank,other,One,skilled,Default
Good,> 1000 DM,1 - 4 years,33,none,own,One,skilled,No default
Good,Unknown,4 - 7 years,24,store,rent,One,unskilled,No default
Good,100 - 500 DM,< 1 year,33,none,own,One,unskilled,Default
Good,< 100 DM,1 - 4 years,24,none,own,One,skilled,Default
Good,< 100 DM,1 - 4 years,22,none,rent,One,unskilled,No default
Good,Unknown,unknown,40,bank,other,One,99,No default
Good,100 - 500 DM,1 - 4 years,25,store,own,One,skilled,No default
Good,< 100 DM,< 1 year,26,none,own,One,skilled,No default
Good,< 100 DM,4 - 7 years,25,bank,own,One,unskilled,Default
Good,Unknown,< 1 year,29,none,own,One,unskilled,No default
Very good,< 100 DM,< 1 year,31,bank,own,One,skilled,Default
Good,< 100 DM,1 - 4 years,38,none,own,One,unskilled,No default
Good,Unknown,1 - 4 years,48,none,own,One,unskilled,No default
Critical,< 100 DM,1 - 4 years,32,none,own,Two,skilled,No default
Poor,< 100 DM,< 1 year,27,none,own,Two,unskilled,No default
Critical,< 100 DM,unknown,28,none,own,Two,management,Default
Good,< 100 DM,< 1 year,32,none,own,One,skilled,Default
Good,< 100 DM,4 - 7 years,34,none,other,One,management,No default
Good,> 1000 DM,1 - 4 years,28,none,own,One,skilled,No default
Critical,< 100 DM,1 - 4 years,36,none,own,Two,skilled,No default
Critical,< 100 DM,4 - 7 years,39,none,own,Two,unskilled,No default
Critical,Unknown,< 1 year,49,none,rent,One,skilled,No default
Good,> 1000 DM,4 - 7 years,34,none,own,One,skilled,No default
Good,< 100 DM,< 1 year,31,none,own,One,skilled,No default
Good,< 100 DM,< 1 year,28,none,own,One,skilled,No default
Critical,< 100 DM,unknown,75,none,other,Two,management,No default
